"regional";"endereco";"bairro";"localidade";"descricao";"latitude";"longitude"
"Sul";"RUA SÃO JOSÉ DO EGITO N 02";"Jordão";"Jordão Baixo";"Área de Risco Nível 3";" -8.136611";"-34.938429"
"Sul";"AVENIDA MARIA IRENE N 808";"Jordão";"Jordão Baixo";"Área de Risco Nível 3";" -7.236670";"-34.925088"
"Sul";"RUA CAFARNAUM N 152";"Jordão";"Jordão Baixo";"Área de Risco Nível 3";" -8.131538";"-34.929287"
"Sul";"RUA CAFARNAUM POR TRÁS DO  N 152";"Jordão";"Jordão Baixo";"Área de Risco Nível 3";" -8.131303";"-34.929359"
"Sul";"2 TRAVESSA BONERGES PEREIRA M537";"Jordão";"Jordão Baixo";"Área de Risco Nível 3";" -8.136392";"-34.940914"
"Sul";"Rua Serra Talhada N 12";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.134205";"-34.946356"
"Sul";"Rua Serra Talhada N 13";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.134141";"-34.946401"
"Sul";"Rua Serra Talhada N 14";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.134105";"-34.946437"
"Sul";"Rua Serra Talhada N 15";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.134051";"-34.946482"
"Sul";"Rua Serra Talhada N 16";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.134014";"-34.946537"
"Sul";"Rua Serra TalhadaQ,X12 N 16";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.133951";"-34.946473"
"Sul";"Rua Serra Talhada N 17";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.133888";"-34.946500"
"Sul";"Rua Serra Talhada N 19";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.133734";"-34.946508"
"Sul";"Rua Serra Talhada N 20";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.133689";"-34.946490"
"Sul";"Rua Serra Talhada N 137";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.133626";"-34.946444"
"Sul";"Rua Serra Talhada N ao lado do 137";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.133527";"-34.946407"
"Sul";"Rua Serra Talhada N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.133418";"-34.946334"
"Sul";"Rua Serra Talhada N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.133301";"-34.946297"
"Sul";"PARAÍSO N 420";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.130602";"-34.954794"
"Sul";"PARAÍSO N 410";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.130494";"-34.954812"
"Sul";"PARAÍSO N325";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.129519";"-34.954499"
"Sul";"PARAÍSO N 306";"Ibura";"UR-05";"Área de Risco Nível 4";" -8.129565";"-34.954435"
"Sul";"PARAÍSO N 300";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.129393";"-34.954380"
"Sul";"CANADÁ N 170";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.129543";"-34.955116"
"Sul";"CANADÁ N 160";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.129543";"-34.955116"
"Sul";"CANADÁ N 158";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.129534";"-34.955143"
